Name,Date,Description
Hong Kong Protests,January 2020,
Kanye West and Bloomberg run for president,January 2020,i- huh
Flint Michigan still doesn't have clean water,January 2020,"Yep, that's still happening"
David Stern passes away,January 1 2020,
"""World War III""",3 January 2020,Iranian general Soleimani drone striked by US
Taal Volcano Eruption,January 12 2020,
First coronavirus case in US,1/20/2020,It begins.
Kobe Bryant dies in helicopter crash,1/26/2020,
Brexit,Jan 31 2020,
People buy a lot of toilet paper,February 2020,Actual brain damage
Trump Impeachment ,2/5/2020,"Impeached, not removed from office though."
DJI plunges >1k points in one day,March 9 2020,stonks
Prince Harry and Meghan Markle step down as senior members of royal family,March 31 2020,
Oil prices go negative,April 20 2020,Buy oil!
Australia Bushfires,May 2020,
Death of George Floyd,May 25 2020,
CNN Reporter Omar Jimenez is arrested live,May 29 2020,"An understandable misunderstanding, considering all the, you know, news equipment around him."
Congo reports another case of ebola,June 2020,
Locusts swarm East Africa,June 2020,
Russian Power Plant leaks 20000 tons of oil into Arctic Circle,June 4 2020,:goodjob:
Thailand Protests,July 2020,
"Twitter Hacked, Bitcoin Scam",July 15 2020,
California Wildfires,8/1/2020,"Thanks, lightning and gender reveals!"
Olympics cancelled,August 2020,because of that one virus
Beirut Explosion,August 4 2020,haha go-BOOM
Chadwick Boseman passes away,August 28 2020,
RBG dies,September 18 2020,
Global COVID19 deaths hit 1M,September 29 2020,
Trump contracts COVID 19,October 2020,I totally didn't see this coming for a year now.
Indonesia floods,October 7 2020,
Murder hornets discovered in the US,10/23/2020,Excellent
2020 Aegean Sea Earthquake,October 30 2020,
Alex Trebek dies,November 8 2020,
"Tiktok banned, but not really",November 12 2020,Oracle purchases TikTok operations in the US
"Post-Election, Trump touts massive electron fraud",December 2020,ebic
New Strains of COVID19,December2020,
